Daily averaged kinematic FBC-overflow flux (transport) in Sv

Data references:
Hansen, B., Larsen, K. M. H., Hátún, H., Kristiansen, R., Mortensen, E. Østerhus
Faroe Bank Channel overflow 1995-2015. Havstovan nr. 15-02. Technical report.
http://www.hav.fo/PDF/Ritgerdir/2015/TecRep1502.pdf
Hansen, B., Larsen, K. M. H., Hátún, Østerhus, S. 2016.: A stable Faroe Bank Cha
Ocean Sci., 12, 1205–1220, 2016. www.ocean-sci.net/12/1205/2016/doi:10.5194/os-1
====================
  Year   Mo Da  Flux
--------------------
1995.867 11 13  2.38
1995.870 11 14  2.99
1995.873 11 15  3.00
1995.875 11 16  3.22
1995.878 11 17  2.75
1995.881 11 18  3.03
1995.884 11 19  2.54
1995.886 11 20  2.57
1995.889 11 21  3.43
1995.892 11 22  2.38
1995.895 11 23  1.48
1995.897 11 24  1.75
1995.900 11 25  2.17
1995.903 11 26  2.30
1995.905 11 27  2.64
1995.908 11 28  2.97
1995.911 11 29  2.60
1995.914 11 30  1.99
1995.916 12  1  2.22
1995.919 12  2  2.22
1995.922 12  3  1.80
1995.925 12  4  1.97
1995.927 12  5  2.30
1995.930 12  6  1.99
1995.933 12  7  1.84
1995.936 12  8  2.47
1995.938 12  9  2.53
1995.941 12 10  2.07
1995.944 12 11  1.89
1995.947 12 12  1.88
1995.949 12 13  2.09
1995.952 12 14  2.61
1995.955 12 15  2.50
1995.958 12 16  2.30
1995.960 12 17  2.25
1995.963 12 18  2.44
1995.966 12 19  2.62
1995.968 12 20  2.69
1995.971 12 21  2.53
1995.974 12 22  2.34
1995.977 12 23  2.28
1995.979 12 24  2.15
1995.982 12 25  1.93
1995.985 12 26  1.80
1995.988 12 27  2.11
1995.990 12 28  2.08
1995.993 12 29  1.64
1995.996 12 30  1.87
1995.999 12 31  3.18
1996.001  1  1  3.81
1996.004  1  2  3.24
1996.007  1  3  2.61
1996.010  1  4  1.98
1996.012  1  5  2.16
1996.015  1  6  2.95
1996.018  1  7  3.68
1996.020  1  8  2.95
1996.023  1  9  2.13
1996.026  1 10  2.97
1996.029  1 11  2.81
1996.031  1 12  2.21
1996.034  1 13  2.51
1996.037  1 14  3.58
1996.040  1 15  3.34
1996.042  1 16  3.09
1996.045  1 17  2.94
1996.048  1 18  2.59
1996.051  1 19  2.46
1996.053  1 20  4.00
1996.056  1 21  3.45
1996.059  1 22  2.21
1996.061  1 23  2.54
1996.064  1 24  2.79
1996.067  1 25  3.82
1996.070  1 26  3.76
1996.072  1 27  2.70
1996.075  1 28  2.24
1996.078  1 29  3.05
1996.081  1 30  2.47
1996.083  1 31  1.97
1996.086  2  1  2.70
1996.089  2  2  3.25
1996.092  2  3  2.68
1996.094  2  4  2.40
1996.097  2  5  2.42
1996.100  2  6  2.18
1996.102  2  7  1.97
1996.105  2  8  1.71
1996.108  2  9  1.78
1996.111  2 10  2.17
1996.113  2 11  1.94
1996.116  2 12  1.47
1996.119  2 13  1.76
1996.122  2 14  2.11
1996.124  2 15  1.38
1996.127  2 16  1.02
1996.130  2 17  1.15
1996.133  2 18  1.93
1996.135  2 19  1.86
1996.138  2 20  1.57
1996.141  2 21  1.37
1996.143  2 22  1.44
1996.146  2 23  1.30
1996.149  2 24  1.19
1996.152  2 25  1.63
1996.154  2 26  1.83
1996.157  2 27  1.54
1996.160  2 28  1.33
1996.163  2 29  1.69
1996.165  3  1  2.12
1996.168  3  2  1.86
1996.171  3  3  1.64
1996.173  3  4  2.30
1996.176  3  5  2.71
1996.179  3  6  2.06
1996.182  3  7  1.74
1996.184  3  8  2.19
1996.187  3  9  2.29
1996.190  3 10  1.91
1996.193  3 11  1.29
1996.195  3 12  1.64
1996.198  3 13  2.01
1996.201  3 14  2.02
1996.204  3 15  2.22
1996.206  3 16  3.03
1996.209  3 17  3.01
1996.212  3 18  3.08
1996.214  3 19  2.56
1996.217  3 20  2.16
1996.220  3 21  1.84
1996.223  3 22  1.77
1996.225  3 23  2.24
1996.228  3 24  2.06
1996.231  3 25  1.79
1996.234  3 26  1.85
1996.236  3 27  1.95
1996.239  3 28  1.73
1996.242  3 29  2.20
1996.245  3 30  2.37
1996.247  3 31  2.20
1996.250  4  1  1.41
1996.253  4  2  1.18
1996.255  4  3  1.56
1996.258  4  4  1.87
1996.261  4  5  1.93
1996.264  4  6  1.90
1996.266  4  7  2.17
1996.269  4  8  1.85
1996.272  4  9  1.25
1996.275  4 10  1.16
1996.277  4 11  1.09
1996.280  4 12  1.33
1996.283  4 13  1.95
1996.286  4 14  2.03
1996.288  4 15  1.77
1996.291  4 16  1.45
1996.294  4 17  1.24
1996.296  4 18  1.39
1996.299  4 19  1.66
1996.302  4 20  2.30
1996.305  4 21  2.60
1996.307  4 22  2.02
1996.310  4 23  2.46
1996.313  4 24  2.44
1996.316  4 25  1.74
1996.318  4 26  1.67
1996.321  4 27  2.33
1996.324  4 28  2.62
1996.327  4 29  1.81
1996.329  4 30  2.06
1996.332  5  1  2.60
1996.335  5  2  2.34
1996.337  5  3  2.08
1996.340  5  4  1.83
1996.343  5  5  1.61
1996.346  5  6  1.54
1996.348  5  7  1.57
1996.351  5  8  1.51
1996.354  5  9  1.87
1996.357  5 10  2.16
1996.359  5 11  2.20
1996.362  5 12  2.21
1996.365  5 13  2.30
1996.367  5 14  2.02
1996.370  5 15  1.91
1996.373  5 16  2.24
1996.376  5 17  2.11
1996.378  5 18  2.19
1996.381  5 19  2.59
1996.384  5 20  2.61
1996.387  5 21  2.36
1996.389  5 22  2.39
1996.392  5 23  2.45
1996.395  5 24  2.11
1996.458  6 16  2.31
1996.460  6 17  1.54
1996.463  6 18  1.58
1996.466  6 19  1.97
1996.469  6 20  2.15
1996.471  6 21  2.23
1996.474  6 22  3.44
1996.477  6 23  3.28
1996.480  6 24  2.50
1996.482  6 25  2.24
1996.485  6 26  1.86
1996.488  6 27  1.65
1996.490  6 28  1.91
1996.493  6 29  2.08
1996.496  6 30  2.18
1996.499  7  1  2.06
1996.501  7  2  2.27
1996.504  7  3  2.71
1996.507  7  4  3.00
1996.510  7  5  2.56
1996.512  7  6  2.19
1996.515  7  7  2.28
1996.518  7  8  2.07
1996.520  7  9  2.17
1996.523  7 10  2.67
1996.526  7 11  2.65
1996.529  7 12  2.42
1996.531  7 13  2.07
1996.534  7 14  1.87
1996.537  7 15  2.18
1996.540  7 16  2.22
1996.542  7 17  2.00
1996.545  7 18  2.48
1996.548  7 19  2.37
1996.551  7 20  2.17
1996.553  7 21  2.79
1996.556  7 22  3.06
1996.559  7 23  2.16
1996.561  7 24  2.00
1996.564  7 25  2.39
1996.567  7 26  2.34
1996.570  7 27  2.06
1996.572  7 28  1.98
1996.575  7 29  2.01
1996.578  7 30  1.88
1996.581  7 31  1.70
1996.583  8  1  1.68
1996.586  8  2  2.50
1996.589  8  3  2.78
1996.592  8  4  2.39
1996.594  8  5  2.13
1996.597  8  6  1.90
1996.600  8  7  1.99
1996.602  8  8  2.14
1996.605  8  9  2.35
1996.608  8 10  2.46
1996.611  8 11  2.56
1996.613  8 12  2.04
1996.616  8 13  1.71
1996.619  8 14  1.79
1996.622  8 15  2.80
1996.624  8 16  2.65
1996.627  8 17  1.89
1996.630  8 18  2.05
1996.633  8 19  3.00
1996.635  8 20  3.16
1996.638  8 21  3.16
