/* DATA DESCRIPTION:
Citation:	Wett, Simon; Rhein, Monika; Kieke, Dagmar; Mertens, Christian; Moritz, Martin; Nowitzki, Hannah (2023): Basin-wide AMOC volume transport from the NOAC array at 47°N in the subpolar North Atlantic (1993-2018) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.959558
Abstract:	We present an observational estimate for the basin-wide AMOC volume transports (1993-2018) from measurements of the North Atlantic Changes (NOAC) array at 47°N. We combine transport estimates from the NOAC array, published in Moritz et al. (2021), Nowitzki et al. (2021) and Rhein et al. (2019) with hydrography from the ARMOR3D observational data set. The transport time series are extended back until 1993, using the relation between geostrophic transports and sea surface height (SSH), obtained from satellite altimetry. The resulting transport time series are combined to yield the basin-wide AMOC estimate. Here, we provide the timeseries in monthly resolution and low-pass filtered using a 4th order Butterworth filter with a cutoff period of 2 years.
Keyword(s):	47°N; AMOC; Atlantic Meridional Overturning Circulation; North Atlantic
Supplement to:	Wett, Simon; Rhein, Monika; Kieke, Dagmar; Mertens, Christian; Moritz, Martin (2023): Meridional Connectivity of a 25-Year Observational AMOC Record at 47°N. Geophysical Research Letters, 50(16), e2023GL103284, https://doi.org/10.1029/2023GL103284
References:	Multi Observation Global Ocean 3D Temperature Salinity Height Geostrophic Current and MLD (2020). Mercator Ocean International, https://doi.org/10.48670/MOI-00052
	Mertens, Christian; Rhein, Monika; Walter, Maren; Böning, Claus W; Behrens, Erik; Kieke, Dagmar; Steinfeldt, Reiner; Stöber, Uwe (2014): Circulation and transports in the Newfoundland Basin, western subpolar North Atlantic. Journal of Geophysical Research: Oceans, 119(11), 7772-7793, https://doi.org/10.1002/2014JC010019
	Moritz, Martin; Jochumsen, Kerstin; Kieke, Dagmar; Klein, Birgit; Klein, Holger; Köllner, Manuela; Rhein, Monika (2021): Current meter measurement data and volume transport time series from deep-sea moorings deployed in the North Atlantic Eastern Boundary (EB) region at Goban Spur [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.932566
	Moritz, Martin; Jochumsen, Kerstin; Kieke, Dagmar; Klein, Birgit; Klein, Holger; Köllner, Manuela; Rhein, Monika (2021): Volume Transport Time Series and Variability of the North Atlantic Eastern Boundary Current at Goban Spur. Journal of Geophysical Research: Oceans, 126(9), e2021JC017393, https://doi.org/10.1029/2021JC017393
	Nowitzki, Hannah; Rhein, Monika; Roessler, Achim; Kieke, Dagmar; Mertens, Christian (2020): Absolute baroclinic PIES transport expanded with satellite altimetry [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.925089
	Nowitzki, Hannah; Rhein, Monika; Roessler, Achim; Kieke, Dagmar; Mertens, Christian (2021): Trends and transport variability of the circulation in the subpolar eastern North Atlantic. Journal of Geophysical Research: Oceans, e2020JC016693, https://doi.org/10.1029/2020JC016693
	Rhein, Monika; Mertens, Christian; Roessler, Achim (2019): Lowered ADCP, current meter data and PIES time series measurements in the western subpolar North Atlantic (47°N) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.903211
	Rhein, Monika; Mertens, Christian; Roessler, Achim (2019): Observed transport decline at 47°N, western Atlantic. Journal of Geophysical Research: Oceans, 124(7), 4875-4890, https://doi.org/10.1029/2019JC014993
	Roessler, Achim; Rhein, Monika; Kieke, Dagmar; Mertens, Christian (2015): Long-term observations of North Atlantic Current transport at the gateway between western and eastern Atlantic. Journal of Geophysical Research: Oceans, 120(6), 4003-4027, https://doi.org/10.1002/2014JC010662
Project(s):	Processes and impacts of climate change in the North Atlantic Ocean and the Canadian Arctic (ArcTrain)
Funding:	Federal Ministry of Education and Research (BMBF) (URI: https://www.bmbf.de/), grant/award no. 03F0443C
	Federal Ministry of Education and Research (BMBF) (URI: https://www.bmbf.de/), grant/award no. 03F0561C
	Federal Ministry of Education and Research (BMBF) (URI: https://www.bmbf.de/), grant/award no. 03F0605C
	Federal Ministry of Education and Research (BMBF) (URI: https://www.bmbf.de/), grant/award no. 03F0792A
	German Research Foundation (DFG) (URI: http://www.dfg.de/en/), grant/award no. 221211316: GRK/IRTG 1904: ArcTrain - Processes and impacts of climate change in the North Atlantic Ocean and the Canadian Arctic (URI: https://gepris.dfg.de/gepris/projekt/221211316)
	Horizon Europe (HorizonEU) (URI: https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe_en), grant/award no. 101059547: Updating ocean models to predict rapid climate change (EPOC) (URI: doi:10.3030/101059547)
Coverage:	MEDIAN LATITUDE: 47.000000 * MEDIAN LONGITUDE: -45.000000 * SOUTH-BOUND LATITUDE: 47.000000 * WEST-BOUND LONGITUDE: -60.000000 * NORTH-BOUND LATITUDE: 47.000000 * EAST-BOUND LONGITUDE: -30.000000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2018-01-01T00:00:00
Event(s):	NOAC_AMOC * LATITUDE START: 47.000000 * LONGITUDE START: -60.000000 * LATITUDE END: 47.000000 * LONGITUDE END: -30.000000 * LOCATION: Subpolar North Atlantic * METHOD/DEVICE: Model (Model)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Wett, Simon (https://orcid.org/0000-0003-3876-2206)
	Transport, volumetric [Sv] (Trans vol) * PI: Wett, Simon (https://orcid.org/0000-0003-3876-2206)
	Transport, volumetric [Sv] (Trans vol) * PI: Wett, Simon (https://orcid.org/0000-0003-3876-2206) * METHOD/DEVICE: Low-pass filtered
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	602 data points
*/
Date/Time	Trans vol [Sv]	Trans vol [Sv]
1993-01-01T00:00:00	6.445530	18.384582
1993-02-01T00:00:00	18.830565	18.391604
1993-03-01T00:00:00	16.536556	18.506987
1993-04-01T00:00:00	15.913253	18.699258
1993-05-01T00:00:00	20.609523	18.927487
1993-06-01T00:00:00	21.590563	19.146246
1993-07-01T00:00:00	22.944656	19.313225
1993-08-01T00:00:00	27.142330	19.398396
1993-09-01T00:00:00	21.453108	19.391640
1993-10-01T00:00:00	20.804871	19.304827
1993-11-01T00:00:00	20.769930	19.166219
1993-12-01T00:00:00	18.278016	19.013295
1994-01-01T00:00:00	8.740192	18.884912
1994-02-01T00:00:00	12.455651	18.806884
1994-03-01T00:00:00	22.477944	18.779815
1994-04-01T00:00:00	19.049166	18.784974
1994-05-01T00:00:00	21.024308	18.800600
1994-06-01T00:00:00	19.221614	18.810742
1994-07-01T00:00:00	18.226740	18.805204
1994-08-01T00:00:00	19.085073	18.776681
1994-09-01T00:00:00	22.079839	18.719364
1994-10-01T00:00:00	22.923725	18.632760
1994-11-01T00:00:00	19.112636	18.527957
1994-12-01T00:00:00	15.695733	18.427794
1995-01-01T00:00:00	14.021148	18.357742
1995-02-01T00:00:00	19.926854	18.335605
1995-03-01T00:00:00	11.422383	18.368091
1995-04-01T00:00:00	17.138807	18.450003
1995-05-01T00:00:00	20.189152	18.563147
1995-06-01T00:00:00	21.899098	18.682017
1995-07-01T00:00:00	18.158323	18.784055
1995-08-01T00:00:00	21.160472	18.854000
1995-09-01T00:00:00	14.962356	18.881416
1995-10-01T00:00:00	16.520956	18.854824
1995-11-01T00:00:00	28.196251	18.758297
1995-12-01T00:00:00	26.255972	18.581333
1996-01-01T00:00:00	20.876040	18.336443
1996-02-01T00:00:00	9.883581	18.061207
1996-03-01T00:00:00	13.835613	17.798822
1996-04-01T00:00:00	17.588130	17.578344
1996-05-01T00:00:00	18.637725	17.413002
1996-06-01T00:00:00	10.086698	17.308124
1996-07-01T00:00:00	15.059366	17.260728
1996-08-01T00:00:00	14.264585	17.252750
1996-09-01T00:00:00	23.679837	17.252185
1996-10-01T00:00:00	22.923759	17.226264
1996-11-01T00:00:00	20.423891	17.157382
1996-12-01T00:00:00	21.313148	17.050230
1997-01-01T00:00:00	19.091095	16.929942
1997-02-01T00:00:00	6.778045	16.834542
1997-03-01T00:00:00	6.998791	16.797031
1997-04-01T00:00:00	14.221568	16.823603
1997-05-01T00:00:00	21.103437	16.889493
1997-06-01T00:00:00	23.983867	16.957630
1997-07-01T00:00:00	15.747382	17.000530
1997-08-01T00:00:00	18.187486	17.006508
1997-09-01T00:00:00	18.027540	16.973063
1997-10-01T00:00:00	17.476594	16.901868
1997-11-01T00:00:00	14.154965	16.797438
1997-12-01T00:00:00	18.304893	16.664260
1998-01-01T00:00:00	12.889870	16.503952
1998-02-01T00:00:00	20.484621	16.314999
1998-03-01T00:00:00	22.084655	16.097356
1998-04-01T00:00:00	8.260099	15.859555
1998-05-01T00:00:00	18.419806	15.616556
1998-06-01T00:00:00	14.408179	15.381145
1998-07-01T00:00:00	11.430296	15.161536
1998-08-01T00:00:00	19.309244	14.962098
1998-09-01T00:00:00	13.124180	14.784872
1998-10-01T00:00:00	15.681862	14.633279
1998-11-01T00:00:00	13.199379	14.512714
1998-12-01T00:00:00	15.229783	14.428436
1999-01-01T00:00:00	9.362222	14.383551
1999-02-01T00:00:00	18.790131	14.376640
1999-03-01T00:00:00	17.897702	14.404152
1999-04-01T00:00:00	10.784725	14.467792
1999-05-01T00:00:00	11.648559	14.574051
1999-06-01T00:00:00	10.883192	14.723638
1999-07-01T00:00:00	13.006305	14.903425
1999-08-01T00:00:00	19.121023	15.087674
1999-09-01T00:00:00	19.580370	15.247882
1999-10-01T00:00:00	14.039796	15.364190
1999-11-01T00:00:00	22.795325	15.429447
1999-12-01T00:00:00	18.250014	15.450223
2000-01-01T00:00:00	8.793101	15.447443
2000-02-01T00:00:00	8.773457	15.445529
2000-03-01T00:00:00	19.126119	15.455572
2000-04-01T00:00:00	16.634969	15.474242
2000-05-01T00:00:00	18.307916	15.497046
2000-06-01T00:00:00	11.608932	15.526192
2000-07-01T00:00:00	14.528780	15.566432
2000-08-01T00:00:00	16.994965	15.618351
2000-09-01T00:00:00	13.456142	15.677787
2000-10-01T00:00:00	16.564009	15.738213
2000-11-01T00:00:00	10.341085	15.789800
2000-12-01T00:00:00	19.604160	15.816536
2001-01-01T00:00:00	16.740557	15.797751
2001-02-01T00:00:00	19.978207	15.715716
2001-03-01T00:00:00	21.461403	15.564208
2001-04-01T00:00:00	15.851215	15.354194
2001-05-01T00:00:00	11.780204	15.112273
2001-06-01T00:00:00	11.759828	14.869366
2001-07-01T00:00:00	12.707583	14.648441
2001-08-01T00:00:00	14.421809	14.460660
2001-09-01T00:00:00	12.866074	14.308469
2001-10-01T00:00:00	16.992011	14.190088
2001-11-01T00:00:00	13.928574	14.103819
2001-12-01T00:00:00	16.543929	14.051810
2002-01-01T00:00:00	15.009835	14.042111
2002-02-01T00:00:00	15.025112	14.089340
2002-03-01T00:00:00	7.892599	14.212025
2002-04-01T00:00:00	14.364261	14.424683
2002-05-01T00:00:00	7.788410	14.729695
2002-06-01T00:00:00	16.682168	15.114155
2002-07-01T00:00:00	17.507979	15.553141
2002-08-01T00:00:00	8.667185	16.016343
2002-09-01T00:00:00	21.968982	16.469591
2002-10-01T00:00:00	22.706457	16.876653
2002-11-01T00:00:00	21.427040	17.211233
2002-12-01T00:00:00	22.254574	17.468450
2003-01-01T00:00:00	11.354188	17.663533
2003-02-01T00:00:00	11.683799	17.817733
2003-03-01T00:00:00	18.827179	17.940840
2003-04-01T00:00:00	21.139034	18.027444
2003-05-01T00:00:00	19.721446	18.068704
2003-06-01T00:00:00	18.592341	18.062752
2003-07-01T00:00:00	13.499325	18.013987
2003-08-01T00:00:00	25.350259	17.927485
2003-09-01T00:00:00	18.591892	17.810476
2003-10-01T00:00:00	14.667171	17.678335
