  Year,  Ekman (Sv),  Geos (Sv),  MOC (Sv),  MOC (PW)
   2.0020417e+03,  -6.4957151e+00,   1.4463381e+01,   7.9676929e+00,   1.8344110e-01
   2.0021250e+03,  -6.5877733e+00,   1.7344729e+01,   1.0756770e+01,   3.5078931e-01
   2.0022083e+03,  -3.6612229e+00,   1.8767125e+01,   1.5105867e+01,   5.6455523e-01
   2.0022917e+03,  -3.5964499e+00,   1.6235614e+01,   1.2639230e+01,   4.6204883e-01
   2.0023750e+03,  -2.7942836e+00,   1.4489920e+01,   1.1695581e+01,   4.2053744e-01
   2.0024583e+03,  -2.3220854e+00,   1.2345043e+01,   1.0022928e+01,   3.0769092e-01
   2.0025417e+03,  -1.1606089e+00,   1.2684659e+01,   1.1524015e+01,   3.8339266e-01
   2.0026250e+03,  -9.5921755e-01,   1.1904081e+01,   1.0944950e+01,   3.2212979e-01
   2.0027083e+03,  -1.4646310e+00,   1.1804107e+01,   1.0339528e+01,   3.3147505e-01
   2.0027917e+03,  -4.1824121e+00,   1.3677556e+01,   9.4950743e+00,   2.8970635e-01
   2.0028750e+03,  -6.2860999e+00,   1.6027533e+01,   9.7415390e+00,   3.1883851e-01
   2.0029583e+03,  -7.3537889e+00,   1.5280608e+01,   7.9268079e+00,   2.7099738e-01
   2.0030417e+03,  -7.1926346e+00,   1.6354269e+01,   9.1616316e+00,   2.4925601e-01
   2.0031250e+03,  -5.7490177e+00,   1.6856883e+01,   1.1107742e+01,   3.6471090e-01
   2.0032083e+03,  -4.3986192e+00,   1.8472019e+01,   1.4073463e+01,   5.1228225e-01
   2.0032917e+03,  -2.2808199e+00,   1.6257869e+01,   1.3977093e+01,   5.2191746e-01
   2.0033750e+03,  -2.1776829e+00,   1.4328674e+01,   1.2151008e+01,   5.2879959e-01
   2.0034583e+03,  -2.0121779e+00,   1.4271693e+01,   1.2259429e+01,   5.4745209e-01
   2.0035417e+03,  -1.9309344e+00,   1.5165133e+01,   1.3234132e+01,   5.9992105e-01
   2.0036250e+03,  -9.8697096e-01,   1.4612639e+01,   1.3625626e+01,   6.8478209e-01
